date;Leverage;No leverage;datealt;CRIX
04/10/2018;0.951274;0.81186;;
04/10/2018;0.951274;0.811641;;
04/10/2018;0.951274;0.810716;;
04/10/2018;0.951274;0.811413;;
04/10/2018;0.951274;0.812222;;
04/10/2018;0.951274;0.813528;;
04/10/2018;0.951274;0.81296;;
04/10/2018;0.951274;0.81235;;
04/10/2018;0.951274;0.811418;;
05/10/2018;0.95128;0.811539;;
05/10/2018;0.951275;0.810255;;
05/10/2018;0.951275;0.811108;;
05/10/2018;0.951275;0.810111;;
05/10/2018;0.951275;0.809798;;
05/10/2018;0.951275;0.809797;;
05/10/2018;0.951274;0.809538;;
05/10/2018;0.951274;0.809975;;
05/10/2018;0.951274;0.809564;;
05/10/2018;0.951274;0.809455;;
05/10/2018;0.951274;0.808547;;
05/10/2018;0.951274;0.80899;;
05/10/2018;0.951274;0.804966;;
05/10/2018;0.951274;0.806677;;
05/10/2018;0.951274;0.808231;;
05/10/2018;0.951274;0.808098;;
05/10/2018;0.951274;0.807543;;
05/10/2018;0.951274;0.805918;;
05/10/2018;0.951274;0.805698;;
05/10/2018;0.951274;0.805981;;
05/10/2018;0.951274;0.805381;;
05/10/2018;0.951274;0.805129;;
05/10/2018;0.951274;0.805474;;
05/10/2018;0.951274;0.80531;;
05/10/2018;0.951274;0.805733;;
05/10/2018;0.951274;0.80521;;
05/10/2018;0.951274;0.804189;;
05/10/2018;0.951275;0.804842;;
05/10/2018;0.951273;0.804118;;
05/10/2018;0.951272;0.804373;;
05/10/2018;0.951272;0.803677;;
05/10/2018;0.951272;0.804248;;
05/10/2018;0.951272;0.803775;;
05/10/2018;0.951272;0.803951;;
05/10/2018;0.951269;0.803043;;
05/10/2018;0.951268;0.801916;;
05/10/2018;0.951268;0.802139;;
05/10/2018;0.951265;0.802226;;
05/10/2018;0.951265;0.80207;;
05/10/2018;0.951265;0.801779;;
05/10/2018;0.951265;0.803799;;
05/10/2018;0.951265;0.803532;;
05/10/2018;0.951264;0.802985;;
05/10/2018;0.951264;0.803107;;
05/10/2018;0.951264;0.802589;;
05/10/2018;0.951264;0.802817;;
05/10/2018;0.951264;0.803933;;
05/10/2018;0.951264;0.80401;;
06/10/2018;0.951264;0.803497;;
06/10/2018;0.951264;0.802941;;
06/10/2018;0.951264;0.802157;;
06/10/2018;0.951264;0.802523;;
06/10/2018;0.951264;0.802378;;
06/10/2018;0.951264;0.801753;;
06/10/2018;0.951264;0.800666;;
06/10/2018;0.951264;0.800565;;
06/10/2018;0.951264;0.800711;;
06/10/2018;0.951264;0.801015;;
06/10/2018;0.951264;0.802275;;
06/10/2018;0.951264;0.801913;;
06/10/2018;0.951264;0.800814;;
06/10/2018;0.951264;0.801717;;
06/10/2018;0.951264;0.804433;;
06/10/2018;0.951264;0.803048;;
06/10/2018;0.951264;0.803026;;
06/10/2018;0.951264;0.803767;;
06/10/2018;0.951264;0.803093;;
06/10/2018;0.951264;0.803517;;
06/10/2018;0.951264;0.80285;;
06/10/2018;0.951264;0.802037;;
06/10/2018;0.951264;0.802005;;
06/10/2018;0.951264;0.802299;;
06/10/2018;0.951264;0.801839;;
06/10/2018;0.951264;0.802179;;
06/10/2018;0.951264;0.801473;;
06/10/2018;0.951264;0.801119;;
06/10/2018;0.951264;0.801334;;
06/10/2018;0.951264;0.802002;;
06/10/2018;0.951264;0.801781;;
06/10/2018;0.951263;0.801581;;
06/10/2018;0.951263;0.801533;;
06/10/2018;0.951263;0.801453;;
06/10/2018;0.951263;0.79988;;
06/10/2018;0.951263;0.7998;;
06/10/2018;0.951263;0.799754;;
06/10/2018;0.951262;0.799971;;
06/10/2018;0.951262;0.801437;;
06/10/2018;0.951262;0.801179;;
06/10/2018;0.951262;0.799723;;
06/10/2018;0.951262;0.797275;;
06/10/2018;0.951262;0.797983;;
06/10/2018;0.951262;0.797707;;
06/10/2018;0.951262;0.792929;;
06/10/2018;0.951262;0.790203;;
06/10/2018;0.951262;0.78689;;
06/10/2018;0.951262;0.789009;;
07/10/2018;0.951262;0.787475;;
07/10/2018;0.951261;0.785048;;
07/10/2018;0.951261;0.767608;;
07/10/2018;0.951261;0.768814;;
07/10/2018;0.951261;0.770142;;
07/10/2018;0.951262;0.772326;;
07/10/2018;0.95126;0.766024;;
07/10/2018;0.95126;0.765262;;
07/10/2018;0.95126;0.762579;;
07/10/2018;0.95126;0.755502;;
07/10/2018;0.95126;0.763672;;
07/10/2018;0.951259;0.763611;;
07/10/2018;0.951259;0.768386;;
07/10/2018;0.951259;0.771156;;
07/10/2018;0.951259;0.768827;;
07/10/2018;0.951255;0.772156;;
07/10/2018;0.951254;0.772641;;
07/10/2018;0.951254;0.772778;;
07/10/2018;0.951253;0.771038;;
07/10/2018;0.951253;0.770016;;
07/10/2018;0.951253;0.771645;;
07/10/2018;0.951253;0.770445;;
07/10/2018;0.951253;0.77005;;
07/10/2018;0.951252;0.769356;;
07/10/2018;0.951251;0.768996;;
07/10/2018;0.951251;0.769155;;
07/10/2018;0.951251;0.769533;;
07/10/2018;0.951251;0.768128;;
07/10/2018;0.951254;0.768475;;
07/10/2018;0.951248;0.766322;;
07/10/2018;0.951247;0.765017;;
07/10/2018;0.951247;0.766481;;
07/10/2018;0.951246;0.765084;;
07/10/2018;0.951246;0.764948;;
07/10/2018;0.951245;0.763038;;
07/10/2018;0.951245;0.762916;;
07/10/2018;0.951245;0.763189;;
07/10/2018;0.951245;0.76421;;
07/10/2018;0.951246;0.764907;;
07/10/2018;0.951245;0.76534;;
07/10/2018;0.951245;0.765878;;
07/10/2018;0.951245;0.765529;;
07/10/2018;0.951245;0.764662;;
07/10/2018;0.951244;0.765341;;
07/10/2018;0.951244;0.766624;;
07/10/2018;0.951244;0.766355;;
07/10/2018;0.951244;0.765746;;
07/10/2018;0.951244;0.765165;;
